MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,505292,183,129354935,268-02-129354935,,,4,1800,39.1646006,-9.2833588,240,A DOS CUNHADOS-EN8 (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,102128,51,26144819,268-02-26144819,,,4,900,38.7631243,-9.32834,0,A DOS FRANCOS (1),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,91,26144859,268-02-26144859,,,4,2600,38.7631243,-9.32834,0,A DOS FRANCOS (1),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,181,26144949,268-02-26144949,,,4,1800,38.7631243,-9.32834,0,A DOS FRANCOS (1),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,51,128544819,268-02-128544819,,,4,900,38.7631243,-9.32834,0,A DOS FRANCOS (1),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,181,128544949,268-02-128544949,,,4,1800,38.7631243,-9.32834,0,A DOS FRANCOS (1),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,52,26144820,268-02-26144820,,,4,900,38.7631243,-9.32834,120,A DOS FRANCOS (2),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,92,26144860,268-02-26144860,,,4,2600,38.7631243,-9.32834,120,A DOS FRANCOS (2),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,182,26144950,268-02-26144950,,,4,1800,38.7631243,-9.32834,120,A DOS FRANCOS (2),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,52,128544820,268-02-128544820,,,4,900,38.7631243,-9.32834,120,A DOS FRANCOS (2),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,182,128544950,268-02-128544950,,,4,1800,38.7631243,-9.32834,120,A DOS FRANCOS (2),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,53,26144821,268-02-26144821,,,4,900,38.7631243,-9.32834,240,A DOS FRANCOS (3),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,93,26144861,268-02-26144861,,,4,2600,38.7631243,-9.32834,240,A DOS FRANCOS (3),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,102128,183,26144951,268-02-26144951,,,4,1800,38.7631243,-9.32834,240,A DOS FRANCOS (3),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,53,128544821,268-02-128544821,,,4,900,38.7631243,-9.32834,240,A DOS FRANCOS (3),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,502128,183,128544951,268-02-128544951,,,4,1800,38.7631243,-9.32834,240,A DOS FRANCOS (3),,,RIO DE MOURO,SINTRA,1111,LISBOA,11,,,,6/1/2025,111108
268,2,,101852,51,26074163,268-02-26074163,,,4,900,38.723605,-9.334922,0,ABABODA (1),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,101852,91,26074203,268-02-26074203,,,4,2600,38.723605,-9.334922,0,ABABODA (1),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,101852,181,26074293,268-02-26074293,,,4,1800,38.723605,-9.334922,0,ABABODA (1),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,501852,51,128474163,268-02-128474163,,,4,900,38.723605,-9.334922,0,ABABODA (1),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,501852,181,128474293,268-02-128474293,,,4,1800,38.723605,-9.334922,0,ABABODA (1),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,101852,52,26074164,268-02-26074164,,,4,900,38.723605,-9.334922,120,ABABODA (2),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,101852,92,26074204,268-02-26074204,,,4,2600,38.723605,-9.334922,120,ABABODA (2),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
268,2,,101852,182,26074294,268-02-26074294,,,4,1800,38.723605,-9.334922,120,ABABODA (2),,,SAO DOMINGOS DE RANA,CASCAIS,1105,LISBOA,11,,,,6/1/2025,110506
